"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SDF2L11",0,1.91125517166854,0.81,0.151,0,"IgA+ Plasma cells","SDF2L1"
"C19orf10",0,1.83061678876047,0.651,0.062,0,"IgA+ Plasma cells","C19orf10"
"HSP90B11",0,1.80704999440495,0.858,0.266,0,"IgA+ Plasma cells","HSP90B1"
"MT-RNR1",0,1.80068836975562,0.73,0.222,0,"IgA+ Plasma cells","MT-RNR1"
"VIMP1",0,1.78235057635915,0.828,0.175,0,"IgA+ Plasma cells","VIMP"
"MT-RNR2",0,1.72002032641046,0.792,0.293,0,"IgA+ Plasma cells","MT-RNR2"
"ANKRD281",0,1.70296131632479,0.627,0.086,0,"IgA+ Plasma cells","ANKRD28"
"HERPUD1",0,1.70157880498317,0.967,0.656,0,"IgA+ Plasma cells","HERPUD1"
"MANF1",0,1.68885041761602,0.781,0.181,0,"IgA+ Plasma cells","MANF"
"SSR31",0,1.68609342205265,0.832,0.215,0,"IgA+ Plasma cells","SSR3"
"HSPA1B",0,1.61164857270603,0.652,0.185,0,"IgA+ Plasma cells","HSPA1B"
"DUSP5",0,1.54653528250172,0.586,0.061,0,"IgA+ Plasma cells","DUSP5"
"JUN",0,1.5456961046091,0.927,0.616,0,"IgA+ Plasma cells","JUN"
"PRDX41",0,1.53427324700723,0.726,0.128,0,"IgA+ Plasma cells","PRDX4"
"SPCS2",0,1.50375008507491,0.897,0.43,0,"IgA+ Plasma cells","SPCS2"
"SPCS1",0,1.48994776221105,0.887,0.447,0,"IgA+ Plasma cells","SPCS1"
"SEC61B1",0,1.46331683075348,0.91,0.452,0,"IgA+ Plasma cells","SEC61B"
"CRELD2",0,1.45317514406621,0.691,0.133,0,"IgA+ Plasma cells","CRELD2"
"CD63",0,1.41801261147791,0.798,0.26,0,"IgA+ Plasma cells","CD63"
"PDIA41",0,1.39129002429724,0.659,0.123,0,"IgA+ Plasma cells","PDIA4"
"TIMP1",0,1.35516394187888,0.606,0.117,0,"IgA+ Plasma cells","TIMP1"
"TMEM258",0,1.34583192333506,0.869,0.426,0,"IgA+ Plasma cells","TMEM258"
"CCL4",0,1.33024085542299,0.342,0.085,0,"IgA+ Plasma cells","CCL4"
"RGCC",0,1.3218198755363,0.577,0.172,0,"IgA+ Plasma cells","RGCC"
"LMNA",0,1.30958420772973,0.629,0.194,0,"IgA+ Plasma cells","LMNA"
"IGLC71",0,1.30918098650144,0.333,0.087,0,"IgA+ Plasma cells","IGLC7"
"IER2",0,1.30215682633115,0.807,0.446,0,"IgA+ Plasma cells","IER2"
"UBE2J1",0,1.28799310326863,0.799,0.279,0,"IgA+ Plasma cells","UBE2J1"
"SPINK2",0,1.26653344199996,0.377,0.037,0,"IgA+ Plasma cells","SPINK2"
"PPAPDC1B",0,1.26440835463946,0.525,0.033,0,"IgA+ Plasma cells","PPAPDC1B"
"CITED2",0,1.25753091233584,0.539,0.154,0,"IgA+ Plasma cells","CITED2"
"EGR1",0,1.24821405943886,0.54,0.122,0,"IgA+ Plasma cells","EGR1"
"AL928768.3",0,1.23561456095665,0.807,0.264,0,"IgA+ Plasma cells","AL928768.3"
"RRBP11",0,1.23191882035479,0.536,0.075,0,"IgA+ Plasma cells","RRBP1"
"ITM2C1",0,1.2210477095882,0.62,0.145,0,"IgA+ Plasma cells","ITM2C"
"TMEM59",0,1.2155214275723,0.809,0.374,0,"IgA+ Plasma cells","TMEM59"
"NFKBIA",0,1.20521458884464,0.777,0.474,0,"IgA+ Plasma cells","NFKBIA"
"SELM",0,1.20086258173805,0.703,0.185,0,"IgA+ Plasma cells","SELM"
"LGALS11",0,1.18470764292337,0.843,0.355,0,"IgA+ Plasma cells","LGALS1"
"SPCS31",0,1.16349166362279,0.673,0.162,0,"IgA+ Plasma cells","SPCS3"
"NUCB21",0,1.16112809794847,0.492,0.06,0,"IgA+ Plasma cells","NUCB2"
"PPIB1",0,1.14550910555982,0.786,0.323,0,"IgA+ Plasma cells","PPIB"
"SEC61G1",0,1.14527987373844,0.779,0.401,0,"IgA+ Plasma cells","SEC61G"
"PDIA6",0,1.14497116582964,0.752,0.281,0,"IgA+ Plasma cells","PDIA6"
"IGLV6-571",0,1.13839320688059,0.332,0.042,0,"IgA+ Plasma cells","IGLV6-57"
"BTG2",0,1.13628598169392,0.807,0.457,0,"IgA+ Plasma cells","BTG2"
"HSPA1A",0,1.130381534612,0.609,0.206,0,"IgA+ Plasma cells","HSPA1A"
"SUB11",0,1.12917716532521,0.858,0.533,0,"IgA+ Plasma cells","SUB1"
"LMAN2",0,1.10126974441813,0.705,0.225,0,"IgA+ Plasma cells","LMAN2"
"PABPC4",0,1.09792304364888,0.633,0.194,0,"IgA+ Plasma cells","PABPC4"
"LINC001521",0,1.07925402597537,0.461,0.091,0,"IgA+ Plasma cells","LINC00152"
"RABAC11",0,1.0640776478496,0.794,0.313,0,"IgA+ Plasma cells","RABAC1"
"NEAT11",0,1.04670841377166,0.806,0.489,0,"IgA+ Plasma cells","NEAT1"
"FOSB",0,1.037427388387,0.844,0.485,0,"IgA+ Plasma cells","FOSB"
"HSPA51",0,1.0291405633578,0.671,0.277,0,"IgA+ Plasma cells","HSPA5"
"SELK",0,1.0225971853125,0.843,0.443,0,"IgA+ Plasma cells","SELK"
"CHPF",0,1.02106207182495,0.451,0.035,0,"IgA+ Plasma cells","CHPF"
"KDELR21",0,1.02047686662714,0.646,0.184,0,"IgA+ Plasma cells","KDELR2"
"TRIB1",0,1.01415182846357,0.428,0.059,0,"IgA+ Plasma cells","TRIB1"
"TRAM1",0,1.01103572644911,0.694,0.224,0,"IgA+ Plasma cells","TRAM1"
"TNFRSF18",0,1.00229806001533,0.416,0.029,0,"IgA+ Plasma cells","TNFRSF18"
"P4HB1",0,0.995125957065958,0.658,0.204,0,"IgA+ Plasma cells","P4HB"
"FTL",0,0.993110615793453,0.988,0.979,0,"IgA+ Plasma cells","FTL"
"MIR24-2",0,0.992714476266305,0.486,0.078,0,"IgA+ Plasma cells","MIR24-2"
"VIM",0,0.992305041683055,0.829,0.474,0,"IgA+ Plasma cells","VIM"
"FAM46C",0,0.962050926167807,0.605,0.165,0,"IgA+ Plasma cells","FAM46C"
"RNA18S5",0,0.956965363486389,0.568,0.12,0,"IgA+ Plasma cells","RNA18S5"
"TMED2",0,0.951843848494935,0.711,0.278,0,"IgA+ Plasma cells","TMED2"
"RP11-290F5.1",0,0.950160058008206,0.386,0.022,0,"IgA+ Plasma cells","RP11-290F5.1"
"ANKRD37",0,0.934564731170939,0.46,0.137,0,"IgA+ Plasma cells","ANKRD37"
"PRDM11",0,0.934486224986088,0.389,0.059,0,"IgA+ Plasma cells","PRDM1"
"PIM21",0,0.932216387154128,0.622,0.204,0,"IgA+ Plasma cells","PIM2"
"DNAJC1",0,0.92705540935731,0.492,0.088,0,"IgA+ Plasma cells","DNAJC1"
"ERLEC11",0,0.90072181897409,0.544,0.118,0,"IgA+ Plasma cells","ERLEC1"
"TXNDC15",0,0.900035777226305,0.495,0.093,0,"IgA+ Plasma cells","TXNDC15"
"TMED10",0,0.881590491506596,0.648,0.212,0,"IgA+ Plasma cells","TMED10"
